Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
STAT4_Stat4	4	0.19	0.174	2	1	2	6	6	0.651930666666667	0.533333333333333	-0.533333333333333	2	2	0.0703982389412175	0.272727272727273	FALSE	6464	1882	3120
ZEB2_Zeb2	3	0.143	0.13	2	2	1	9	4	0.807361428571429	0.6875	-0.6875	2	1	0.0941647769071581	0	FALSE	3137	3878	3121
TMEM158_Tmem158	4	0.19	0.174	2	2	1	5	7	0.679156666666667	0.6	0.6	3	1	0.0695394329688528	0.272727272727273	FALSE	6641	1832	3122
CEP57_Cep57	4	0.182	0.174	1	2	1	5	8	0.275383636363636	0.625	0.625	3	1	0.0866536660510057	0.0909090909090909	FALSE	3952	3084	3123
N4BP2L1_N4bp2l1	5	0.227	0.217	1	3	0	5	8	0.46518	0.6875	0.6875	4	1	0.0387273146262873	0.0909090909090909	FALSE	13195	924	3124
SGMS1_Sgms1	4	0.182	0.174	1	2	1	4	9	0.324446363636364	0.6875	0.6875	3	1	0.0837922750872823	0.181818181818182	FALSE	4324	2824	3125
PDGFB_Pdgfb	3	0.143	0.13	2	1	1	5	8	0.708116666666667	0.6	-0.6	1	2	0.0952417735775564	0.0909090909090909	TRUE	3028	4038	3126
RFC1_Rfc1	4	0.174	0.174	0	1	2	10	4	0.3146	0.705882352941177	0.705882352941177	3	1	0.0844568707048042	0.272727272727273	FALSE	4242	2883	3127
HECTD1_Hectd1	3	0.13	0.13	0	1	2	9	5	0.171209130434783	0.647058823529412	0.647058823529412	1	2	0.111445794601301	0.363636363636364	FALSE	1786	6850	3128
ENHO_Enho	3	0.15	0.13	3	1	0	3	10	0.474522	0.785714285714286	0.785714285714286	3	0	0.101122130156259	0.363636363636364	FALSE	2548	4808	3129
UBE4B_Ube4b	3	0.136	0.13	1	3	0	3	10	0.217703454545455	0.8125	0.8125	2	1	0.110164366022609	0.363636363636364	FALSE	1871	6553	3130
CRYZ_Cryz	4	0.182	0.174	1	1	2	7	6	0.581029090909091	0.5625	0.5625	3	1	0.0725581783138846	0.181818181818182	FALSE	6077	2018	3131
BCL2_Bcl2	5	0.217	0.217	0	1	2	10	4	0.564196956521739	0.705882352941177	0.705882352941177	4	1	0.0268710362933707	0	FALSE	15293	802	3132
ELP6_Elp6	1	0.048	0.043	2	2	1	6	6	0.243732904761905	0.533333333333333	0.533333333333333	1	0	0.130871579492237	0.272727272727273	FALSE	884	13875	3133
ASB15_Asb15	0	0	0	7	0	1	5	6	0.528466875	0.583333333333333	-0.583333333333333	0	0	0.132581978407206	0.454545454545455	FALSE	820	14973	3134
USP4_Usp4	4	0.174	0.174	0	2	1	6	8	0.134719913043478	0.588235294117647	0.588235294117647	2	2	0.0915730525651923	0.272727272727273	FALSE	3417	3594	3135
VPS45_Vps45	2	0.091	0.087	1	1	2	7	6	0.314566181818182	0.5625	0.5625	1	1	0.120858747970995	0.272727272727273	FALSE	1288	9536	3136
